Case ID,Category,Status,Finding,Diagnosis,Root Cause,Evidence,Explanation,Recommended Solution,Confidence
NET-011,DHCP,NOT_CHECKED,DHCP network information is unavailable.,Wrong DHCP network.,,"# NET-011 – Wrong DHCP Network

## Problem

The DHCP pool on the router was configured with the wrong network address.

The LAN is using the `192.168.11.0/24` network, but the DHCP pool was incorrectly configured for the `192.168.20.0/24` network.

As a result, the PC was unable to obtain a usable IPv4 address through DHCP.

## Topology

- 1 Cisco 1941 Router
- 1 Cisco 2960 Switch
- 1 PC
- PC0 → Switch → Router0

## IP Configuration

**Router LAN Interface:**

`192.168.11.1 / 255.255.255.0`

**Correct LAN Network:**

`192.168.11.0 / 24`

**DHCP Client:**

PC0 was configured to obtain its IP address automatically using DHCP.

## Fault Created

The DHCP pool was intentionally configured with the wrong network:

```bash
ip dhcp pool LANPOOL
network 192.168.20.0 255.255.255.0
default-router 192.168.11.1",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-012,DHCP,NOT_CHECKED,DHCP default-router information is unavailable.,Wrong DHCP default-router.,,"# NET-012 – Wrong DHCP Gateway

## Problem

The DHCP server was configured with the wrong default gateway.

The LAN network is `192.168.12.0/24` and the actual router gateway is `192.168.12.1`. However, the DHCP pool was intentionally configured to provide `192.168.12.254` as the default gateway.

As a result, the PC receives a valid IP address but is given an incorrect gateway and cannot properly reach the remote network.

## Topology

- 1 Cisco 1941 Router
- 1 Cisco 2960-24TT Switch
- 1 PC
- PC0 → Switch0 → Router0
- PC0 Fa0 → Switch0 Fa0/1
- Switch0 Gi0/1 → Router0 Gi0/0

## Cable Configuration

**PC0 → Switch0**

- PC0 FastEthernet0
- Switch0 FastEthernet0/1
- Cable: Copper Straight-Through

**Switch0 → Router0**

- Switch0 GigabitEthernet0/1
- Router0 GigabitEthernet0/0
- Cable: Copper Straight-Through

## IP Configuration

**Router0 GigabitEthernet0/0:**

`192.168.12.1 / 255.255.255.0`

**Correct LAN Network:**

`192.168.12.0 / 24`

**PC0:**

Configured to obtain its IP address automatically using DHCP.

## Correct DHCP Configuration

The network was first configured correctly using:

```bash
ip dhcp excluded-address 192.168.12.1

ip dhcp pool LANPOOL
network 192.168.12.0 255.255.255.0
default-router 192.168.12.1

The correct configuration was verified and PC0 successfully received an IP address from the DHCP server.

Connectivity to the router was also verified using:

ping 192.168.12.1

Result: 4 packets received, 0% packet loss. ✅

Fault Created

After verifying the correct connection, the DHCP gateway was intentionally changed to an incorrect address:

ip dhcp pool LANPOOL
network 192.168.12.0 255.255.255.0
default-router 192.168.12.254

The network address remains correct, but the DHCP default gateway is incorrect.

The actual router IP is:

192.168.12.1

The DHCP clients are incorrectly receiving:

192.168.12.254

as their default gateway.

Verification

The DHCP configuration was checked using:

do show running-config

The configuration showed:

ip dhcp pool LANPOOL
 network 192.168.12.0 255.255.255.0
 default-router 192.168.12.254

The router interface was verified using:

do show ip interface brief

The router's actual LAN address was confirmed as:

GigabitEthernet0/0 192.168.12.1 up up
PC Verification

On PC0, the DHCP configuration was refreshed using:

ipconfig /release
ipconfig /renew
ipconfig

The PC received a valid IP address, for example:

IPv4 Address.............: 192.168.12.2
Subnet Mask..............: 255.255.255.0
Default Gateway..........: 192.168.12.254

The exact IP address may be different depending on DHCP allocation.

The important point is that the PC receives a valid IP address but the default gateway is wrong.

Expected Fault
Actual Router IP : 192.168.12.1
LAN Network : 192.168.12.0/24
DHCP Network : 192.168.12.0/24
DHCP Default Gateway : 192.168.12.254 ← WRONG

This reproduces the NET-012 – Wrong DHCP Gateway fault.

Expected Fix

The DHCP default gateway should be corrected to the actual router interface:

ip dhcp pool LANPOOL
default-router 192.168.12.1

The fix is intentionally not applied in this test-case file because the purpose of this file is to preserve the faulty state for the AI troubleshooting dataset.

Screenshots
Topology

Correct Connection Verification

Wrong DHCP Gateway Configuration

Running Configuration

PC IP Configuration

Ping Verification

Result

The NET-012 – Wrong DHCP Gateway fault was successfully created.

The DHCP server provides a valid IP address to the PC, but the DHCP pool supplies an incorrect default gateway (192.168.12.254) instead of the actual router gateway (192.168.12.1).

This reproduces the condition where the PC gets an IP but cannot reach the remote network because the DHCP default gateway is incorrect.",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-013,DHCP,NOT_CHECKED,DHCP DNS information is unavailable.,Wrong DHCP DNS server.,,"# NET-013 – Wrong DHCP DNS

## Problem

The DHCP server provides an incorrect DNS server address to the PC.

The PC receives a valid IP address and can communicate using IP addresses, but DNS name resolution fails because the DHCP pool provides the wrong DNS server.

## Topology

- 1 Cisco 1941 Router
- 1 Cisco 2960 Switch
- 1 PC
- 1 Server (DNS Server)

### Connections

- Router0 GigabitEthernet0/0 → Switch0 GigabitEthernet0/1
- Switch0 FastEthernet0/1 → PC0 FastEthernet0
- Switch0 FastEthernet0/2 → Server0 FastEthernet0

## IP Configuration

### Router0

**GigabitEthernet0/0**

```text
IP Address: 192.168.13.1
Subnet Mask: 255.255.255.0

Server0 – DNS Server
IP Address: 192.168.13.2
Subnet Mask: 255.255.255.0
Default Gateway: 192.168.13.1

The DNS service contains the following A record:

Name: www.test.com
Type: A Record
Address: 192.168.13.1
PC0

PC0 is configured to obtain its IPv4 configuration automatically using DHCP.

Correct DHCP Configuration

Initially, the DHCP pool was configured correctly:

ip dhcp excluded-address 192.168.13.1 192.168.13.2

ip dhcp pool LANPOOL
 network 192.168.13.0 255.255.255.0
 default-router 192.168.13.1
 dns-server 192.168.13.2

The correct configuration was verified using:

do show running-config

PC0 successfully received an IP address from the DHCP server.

Correct Connectivity Verification

The router was tested using:

ping 192.168.13.1

Result: 4 packets received, 0% packet loss. ✅

The DNS server was tested using:

ping 192.168.13.2

Result: 4 packets received, 0% packet loss. ✅

DNS name resolution was tested using:

ping www.test.com

The hostname successfully resolved to:

192.168.13.1

Result: 4 packets received, 0% packet loss. ✅

This confirmed that the original configuration was working correctly before creating the fault.

Fault Created

After verifying the correct configuration, the DHCP DNS server was intentionally changed to an incorrect address.

The faulty DHCP configuration is:

ip dhcp pool LANPOOL
 network 192.168.13.0 255.255.255.0
 default-router 192.168.13.1
 dns-server 192.168.13.254

The network and default gateway remain correct.

Only the DHCP DNS server was changed.

Actual DNS Server
192.168.13.2
Incorrect DHCP DNS Server
192.168.13.254

Therefore, PC0 receives an incorrect DNS server address through DHCP.

PC Verification

PC0 was refreshed using DHCP.

The PC received a valid IP address, subnet mask, and default gateway, but the DNS server supplied by DHCP was incorrect.

The important fault condition is:

IPv4 Address : 192.168.13.x
Subnet Mask : 255.255.255.0
Default Gateway : 192.168.13.1
DNS Server : 192.168.13.254

The exact IP address may vary depending on DHCP allocation.

Fault Verification

IP connectivity to the router was tested using:

ping 192.168.13.1

Result: 4 packets received, 0% packet loss. ✅

IP connectivity to the DNS server was tested using:

ping 192.168.13.2

Result: 4 packets received, 0% packet loss. ✅

DNS name resolution was tested using:

ping www.test.com

Result:

Ping request could not find host www.test.com.
Please check the name and try again.

This confirms that IP connectivity is working, but DNS name resolution is failing.

Expected Fault
Actual Router IP : 192.168.13.1
Actual DNS Server : 192.168.13.2
DHCP Network : 192.168.13.0/24
DHCP Gateway : 192.168.13.1
DHCP DNS : 192.168.13.254 ← WRONG

This reproduces the NET-013 – Wrong DHCP DNS fault.

Expected Fix

The DHCP DNS server should be corrected to the actual DNS server:

ip dhcp pool LANPOOL
 dns-server 192.168.13.2

The fix is intentionally not applied in this test-case file because the purpose of this file is to preserve the faulty state for the AI troubleshooting dataset.

Screenshots
Topology

Save a screenshot showing:

Router0
Switch0
PC0
Server0
All network connections
Correct Configuration

Save screenshots showing the original working DHCP configuration and PC configuration.

Wrong DHCP DNS Configuration

Save a screenshot showing:

ip dhcp pool LANPOOL
 network 192.168.13.0 255.255.255.0
 default-router 192.168.13.1
 dns-server 192.168.13.254
Fault Verification

Save the PC command prompt screenshot showing:

ping 192.168.13.1

with successful replies,

ping 192.168.13.2

with successful replies, and

ping www.test.com

with the DNS resolution failure.

Result

The NET-013 – Wrong DHCP DNS fault was successfully created and verified.

The PC receives a valid IP address and can communicate with the router and DNS server using their IP addresses. However, the PC cannot resolve www.test.com because DHCP provides an incorrect DNS server address (192.168.13.254) instead of the actual DNS server (192.168.13.2).

This successfully reproduces the condition:

""IP connectivity works but names fail.""",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-014,DNS,NOT_CHECKED,DNS server information is unavailable.,Wrong DNS server.,,"# NET-014 – Wrong DNS Server

## Problem

PC0 was configured with an incorrect DNS server address. IP connectivity to the DNS server works when the correct DNS address is used, but hostname resolution fails when an incorrect DNS server is configured.

## Topology

- 1 PC
- 1 Cisco 2960 Switch
- 1 DNS Server
- PC0 → Switch0
- Switch0 → Server0

## IP Configuration

**PC0:** `192.168.14.10 / 255.255.255.0`

**Server0:** `192.168.14.2 / 255.255.255.0`

**Correct DNS Server:** `192.168.14.2`

**Faulty DNS Server:** `192.168.14.99`

No router is used in this test case because the PC and DNS server are on the same LAN.

## Correct Configuration Verification

Before creating the fault, the correct DNS configuration was verified.

PC0 was configured with:

```text
IP Address: 192.168.14.10
Subnet Mask: 255.255.255.0
DNS Server: 192.168.14.2

```
Connectivity to the DNS server was tested using:

ping 192.168.14.2

Result: 4 packets received, 0% packet loss. ✅

Hostname resolution was also verified using:

ping www.test.com

The hostname successfully resolved to:

192.168.14.2

This confirmed that the original DNS configuration was working correctly.

## Fault Created

After verifying the correct configuration, the DNS server address on PC0 was intentionally changed to an incorrect address:

DNS Server: 192.168.14.99

The correct DNS server is:

192.168.14.2

The incorrect DNS server is:

192.168.14.99

Only the DNS server address was changed. The PC IP address and subnet mask remained unchanged.

Verification

The faulty DNS configuration was verified using:

ipconfig

The PC configuration showed:

IPv4 Address: 192.168.14.10
Subnet Mask: 255.255.255.0
DNS Server: 192.168.14.99

IP connectivity to the actual DNS server was tested using:

ping 192.168.14.2

Result: 4 packets received, 0% packet loss. ✅

The incorrect DNS server was tested using:

ping 192.168.14.99

Result: Request timed out. ❌

Hostname resolution was tested using:

ping www.test.com

The result was:

Ping request could not find host www.test.com.
Please check the name and try again.

This confirmed that the PC could communicate with the network, but hostname resolution failed because the DNS server address was incorrect.

## Expected Fault
PC IP Address : 192.168.14.10
Subnet Mask : 255.255.255.0
Correct DNS Server : 192.168.14.2
Configured DNS : 192.168.14.99 ← WRONG

This reproduces the NET-014 – Wrong DNS Server fault.

Expected Fix

The DNS server address on PC0 should be corrected to:

192.168.14.2

The fix is intentionally not applied in this test-case file because the purpose of this file is to preserve the faulty state for the AI troubleshooting dataset.

## Topology

Correct DNS Configuration

Correct DNS Verification

Wrong DNS Configuration

Fault Verification

## Result

The NET-014 – Wrong DNS Server fault was successfully created.

PC0 has a valid IP configuration and can communicate with the DNS server at 192.168.14.2, but it cannot resolve www.test.com because the configured DNS server address 192.168.14.99 is incorrect.

This successfully reproduces the condition where IP connectivity works but hostname resolution fails due to a wrong DNS server address.

## What I Learned
How DNS works in a local network
How to configure a DNS server address on a PC
How to verify IP connectivity using ping
How to test hostname resolution using ping
How an incorrect DNS server affects hostname resolution
How to identify a wrong DNS server configuration
How to create and verify a DNS troubleshooting fault in Cisco Packet Tracer",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-015,DNS,NOT_CHECKED,DNS service status is unavailable.,DNS service disabled.,,"# NET-015 – DNS Service Disabled

## Problem

The DNS service on the DNS server was intentionally disabled. As a result, the PC can communicate with the DNS server using its IP address, but it cannot resolve the hostname `www.test.com`.

## Topology

- 1 PC
- 1 Cisco 2960 Switch
- 1 Server
- PC0 → Fa0/1
- Server0 → Fa0/2

## IP Configuration

**PC0:** `192.168.15.10 / 255.255.255.0` 
**DNS Server:** `192.168.15.2 / 255.255.255.0`

**DNS Server configured on PC0:** `192.168.15.2`

## Correct Configuration

The DNS server was initially configured with the following A record:

```text
Name: www.test.com
Type: A Record
Address: 192.168.15.2
```

The DNS service was initially turned ON to verify that the correct configuration was working.

Initial Verification

Connectivity between PC0 and the DNS server was tested using:

ping 192.168.15.2

Result: 4 packets received, 0% packet loss. ✅

DNS hostname resolution was also tested using:

ping www.test.com

The hostname successfully resolved to:

192.168.15.2

Result: 4 packets received, 0% packet loss. ✅

## Fault Created

After verifying the correct connection, the DNS service on Server0 was intentionally turned OFF.

The DNS A record was kept unchanged:

www.test.com → 192.168.15.2

The fault is that the DNS service itself is disabled.

Verification After Fault

IP connectivity was tested again using:

ping 192.168.15.2

Result: 4 packets received, 0% packet loss. ✅

This confirms that the PC can still communicate with the DNS server.

Hostname resolution was then tested using:

ping www.test.com

## The result was:

Ping request could not find host www.test.com.
Please check the name and try again.

This confirms that hostname resolution fails because the DNS service is disabled.

Expected Fault
DNS Server IP : 192.168.15.2
DNS Record : www.test.com → 192.168.15.2
DNS Service : OFF ← WRONG

ping 192.168.15.2 : SUCCESS
ping www.test.com : FAILED

This reproduces the NET-015 – DNS Service Disabled fault.

## Expected Fix

The DNS service on Server0 should be turned ON.

The DNS A record should remain:

www.test.com → 192.168.15.2

The fix is intentionally not applied in this test-case file because the purpose of this file is to preserve the faulty state for the AI troubleshooting dataset.

## Topology

DNS Configuration

PC IP Configuration

Successful IP Ping Before Fault

Successful DNS Resolution Before Fault

DNS Service Disabled

IP Ping After Fault

Failed Hostname Resolution

## Result

The NET-015 – DNS Service Disabled fault was successfully created.

The PC can still reach the DNS server using its IP address, but hostname resolution fails because the DNS service on Server0 is turned OFF.

This reproduces the condition where the hostname cannot be resolved even though IP connectivity to the DNS server is working.

## What I Learned
How to configure a DNS server in Cisco Packet Tracer
How to create an A record
How to configure a PC to use a DNS server
How to test DNS resolution using ping
How to identify the difference between IP connectivity and DNS resolution
How to disable the DNS service to reproduce a DNS failure
How to verify a DNS service fault",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-016,DNS,NOT_CHECKED,DNS record information is unavailable.,DNS record missing.,,"# NET-016 – DNS Record Missing

## Problem

The required DNS record for the hostname `www.test.com` was missing from the DNS server.

As a result, the PC could communicate with the DNS server using its IP address, but it could not resolve the hostname `www.test.com`.

## Topology

- 1 PC
- 1 Cisco 2960 Switch
- 1 DNS Server
- PC0 → Fa0/1
- Server0 → Fa0/2

## IP Configuration

**PC0:** `192.168.16.10 / 255.255.255.0` 
**DNS Server:** `192.168.16.2 / 255.255.255.0`

**DNS Server configured on PC0:** `192.168.16.2`

## Correct Configuration

The DNS server was initially configured with the following A record:

```text
Name: www.test.com
Type: A Record
Address: 192.168.16.2

```
The DNS service was kept ON.

Initial Verification

Connectivity between PC0 and the DNS server was tested using:

ping 192.168.16.2

Result: 4 packets received, 0% packet loss. ✅

Hostname resolution was also tested using:

ping www.test.com

The hostname successfully resolved to:

192.168.16.2

Result: 4 packets received, 0% packet loss. ✅

This confirmed that the original DNS configuration was working correctly.

Fault Created

After verifying the correct configuration, the DNS A record for www.test.com was intentionally removed from Server0.

The DNS service remained ON.

The record that was removed was:

www.test.com → 192.168.16.2

After removal, the DNS record table was empty.

Verification After Fault

IP connectivity was tested again using:

ping 192.168.16.2

Result: 4 packets received, 0% packet loss. ✅

This confirmed that the PC could still communicate with the DNS server.

Hostname resolution was then tested using:

ping www.test.com

The result was:

Ping request could not find host www.test.com.
Please check the name and try again.

This confirmed that the hostname could not be resolved because its DNS record was missing.

Expected Fault
DNS Server IP : 192.168.16.2
DNS Service : ON
DNS Record : www.test.com → MISSING

ping 192.168.16.2 : SUCCESS
ping www.test.com : FAILED

This reproduces the NET-016 – DNS Record Missing fault.

Expected Fix

The missing DNS A record should be added back to the DNS server:

Name: www.test.com
Type: A Record
Address: 192.168.16.2

The fix is intentionally not applied in this test-case file because the purpose of this file is to preserve the faulty state for the AI troubleshooting dataset.

## Topology

Correct DNS Record Configuration

Successful IP Connectivity

Successful DNS Resolution Before Fault

DNS Record Removed

Successful IP Connectivity After Fault

Failed Hostname Resolution

## Result

The NET-016 – DNS Record Missing fault was successfully created.

The PC can communicate with the DNS server using its IP address, but the hostname www.test.com cannot be resolved because the required DNS A record is missing.

This reproduces the condition where IP connectivity works but one hostname cannot be resolved due to a missing DNS record.

## What I Learned
How to configure a DNS server in Cisco Packet Tracer
How to create an A record
How to remove a DNS record
How to configure a PC to use a DNS server
How to verify IP connectivity using ping
How to test hostname resolution using ping
How to identify a missing DNS record
How to distinguish a missing DNS record from a disabled DNS service",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-017,Routing,FAIL,Required static route is missing.,Static route missing.,,"# NET-017 – Missing Static Route

## Problem

The remote network could not be reached because the required static routes were missing from the routers.

## Topology

- 2 Cisco 1941 Routers
- 2 Cisco 2960 Switches
- 2 PCs
- R1 → Switch0 → PC0
- R2 → Switch1 → PC1
- R1 → R2 using GigabitEthernet0/1

## IP Configuration

### R1

**GigabitEthernet0/0:** `192.168.17.1 / 255.255.255.0` 
**GigabitEthernet0/1:** `10.0.0.1 / 255.255.255.252`

### R2

**GigabitEthernet0/0:** `192.168.18.1 / 255.255.255.0` 
**GigabitEthernet0/1:** `10.0.0.2 / 255.255.255.252`

### PC0

**IP Address:** `192.168.17.10` 
**Subnet Mask:** `255.255.255.0` 
**Default Gateway:** `192.168.17.1`

### PC1

**IP Address:** `192.168.18.10` 
**Subnet Mask:** `255.255.255.0` 
**Default Gateway:** `192.168.18.1`

## Correct Connection Verification

The R1 and R2 interfaces were verified using:

```bash
show ip interface brief

R1 showed:

GigabitEthernet0/0 192.168.17.1 up up
GigabitEthernet0/1 10.0.0.1 up up

R2 showed:

GigabitEthernet0/0 192.168.18.1 up up
GigabitEthernet0/1 10.0.0.2 up up

The direct connection between R1 and R2 was tested using:

ping 10.0.0.2

from R1.

Result: 100% success. ✅

The reverse connection was also tested from R2:

ping 10.0.0.1

Result: 100% success. ✅

LAN Connectivity Verification

PC0 was able to reach its local router:

ping 192.168.17.1

Result: 4 packets received, 0% packet loss. ✅

PC1 was also configured with the R2 LAN gateway:

192.168.18.1
Fault Created

The required static routes between the two LAN networks were intentionally not configured.

R1 does not have a route to:

192.168.18.0/24

R2 does not have a route to:

192.168.17.0/24

Therefore, the remote network cannot be reached.

Verification

The routing table on R1 was checked using:

show ip route

R1 contained:

C 10.0.0.0/30 is directly connected, GigabitEthernet0/1
C 192.168.17.0/24 is directly connected, GigabitEthernet0/0

However, the following route was missing:

192.168.18.0/24

The routing table on R2 was also checked using:

show ip route

R2 contained:

C 10.0.0.0/30 is directly connected, GigabitEthernet0/1
C 192.168.18.0/24 is directly connected, GigabitEthernet0/0

However, the following route was missing:

192.168.17.0/24
Fault Verification

From PC0, connectivity to PC1 was tested using:

ping 192.168.18.10

The result was:

Reply from 192.168.17.1: Destination host unreachable.

Result: 4 packets sent, 0 packets received, 100% packet loss. ❌

This confirms that PC0 can reach its local router but cannot reach the remote LAN because the required static route is missing.

## Expected Fix

The missing route on R1 should be:

ip route 192.168.18.0 255.255.255.0 10.0.0.2

The missing route on R2 should be:

ip route 192.168.17.0 255.255.255.0 10.0.0.1

The fix is intentionally not applied in this test-case file because the purpose of this file is to preserve the faulty state for the AI troubleshooting dataset.

## Network Topology

R1-R2 Connectivity

PC0 Local Connectivity

Failed Remote Connectivity

R1 Routing Table

R2 Routing Table

## Result

The NET-017 – Missing Static Route fault was successfully created.

The routers and local networks are correctly configured, and the R1-R2 connection is working. However, the static routes to the remote LANs are missing from the routing tables.

As a result, PC0 cannot reach the remote PC1 network, reproducing the condition where the remote network cannot be reached because the required static route is missing.

## What I Learned
How to configure IP addresses on router interfaces
How to connect two routers using a point-to-point network
How to verify router interfaces using show ip interface brief
How to verify routing tables using show ip route
How static routes provide paths to remote networks
How a missing static route causes remote network connectivity failure
How to troubleshoot Layer 3 routing problems using ping",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,HIGH
NET-018,Routing,NOT_CHECKED,Next-hop information is unavailable.,Wrong next hop.,,"# NET-018 – Wrong Static Route

## Problem
The static route to the remote network was configured with the wrong next-hop address, making the remote network unreachable.

## Topology
- 2 Cisco 1941 Routers
- 2 Cisco 2960 Switches
- 2 PCs
- PC0 → Switch0 → R1
- R1 → R2
- R2 → Switch1 → PC1

## IP Configuration

**R1 LAN:** `192.168.17.1 / 255.255.255.0`

**R2 LAN:** `192.168.18.1 / 255.255.255.0`

**R1-R2 Link:**
- R1: `10.0.0.1 / 255.255.255.252`
- R2: `10.0.0.2 / 255.255.255.252`

**PC0:** `192.168.17.10 / 255.255.255.0`
- Default Gateway: `192.168.17.1`

**PC1:** `192.168.18.10 / 255.255.255.0`
- Default Gateway: `192.168.18.1`

## Fault Created

A static route was intentionally configured on R1 with the wrong next-hop address:

```bash
ip route 192.168.18.0 255.255.255.0 10.0.0.3
```

The correct next-hop address should be:

10.0.0.2

However, 10.0.0.3 was intentionally used to create the faulty scenario.

Verification of Fault

The routing table on R1 was checked using:

show ip route

## The output showed:

S 192.168.18.0/24 [1/0] via 10.0.0.3

This confirmed that the route points to the wrong next hop.

Connectivity from PC0 to the remote PC was tested using:

ping 192.168.18.10

The ping failed, confirming that the remote network was unreachable.

## Expected Fault Behavior

PC0 cannot successfully reach PC1 because R1 forwards traffic toward the incorrect next-hop address.

## Correction

The fault will be corrected later during the fault-correction phase.

The incorrect route will be removed:

no ip route 192.168.18.0 255.255.255.0 10.0.0.3

The correct static route will then be added:

ip route 192.168.18.0 255.255.255.0 10.0.0.2

After correction, connectivity will be tested using:

ping 192.168.18.10

The expected result will be:

Packets: Sent = 4, Received = 4, Lost = 0 (0% loss)
Screenshots
R1 Routing Table

PC0 Ping Test

## Result

NET-018 was successfully created with an intentionally incorrect static route. The routing table confirmed the wrong next-hop address, and the remote network was unreachable as expected.

The fault has been intentionally left unfixed for the later fault-correction phase.

## What I Learned
How static routes work
How to configure a static route using a next-hop address
How to verify routes using show ip route
How an incorrect next-hop address can make a remote network unreachable
How to test network connectivity using ping",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,Review the network configuration and correct the identified fault.,MEDIUM
NET-019,Routing,FAIL,Router interface is administratively down.,Router interface is administratively down,,"# NET-019 – Router Interface Down

## Problem
A router interface was administratively shut down, causing the routed link between the two routers to stop communicating.

## Topology
- 2 Cisco 1941 Routers
- 2 Cisco 2960 Switches
- 2 PCs
- PC0 → Switch0 → R1
- R1 → R2
- R2 → Switch1 → PC1

## IP Configuration

**R1 LAN:** `192.168.19.1 / 255.255.255.0`

**R2 LAN:** `192.168.20.1 / 255.255.255.0`

**R1-R2 Link:**
- R1 GigabitEthernet0/1: `10.0.0.1 / 255.255.255.252`
- R2 GigabitEthernet0/1: `10.0.0.2 / 255.255.255.252`

**PC0:** `192.168.19.10 / 255.255.255.0`
- Default Gateway: `192.168.19.1`

**PC1:** `192.168.20.10 / 255.255.255.0`
- Default Gateway: `192.168.20.1`

## Initial Verification

Before creating the fault, the R1-R2 connection was tested from R1 using:

```bash
ping 10.0.0.2

``

The ping was successful:

Success rate is 100 percent (5/5)

This confirmed that the routed link was working before the fault was introduced.

Fault Created

The fault was intentionally created by administratively shutting down R1's GigabitEthernet0/1 interface:

enable
configure terminal
interface gigabitEthernet 0/1
shutdown
Fault Verification

The interface status was checked using:

do show ip interface brief

The output confirmed:

GigabitEthernet0/1 10.0.0.1 administratively down down

This confirmed that the router interface was intentionally placed in the administratively down state.

Expected Fault Behavior

Because R1's GigabitEthernet0/1 interface is shut down, the connection between R1 and R2 cannot communicate.

Traffic from the R1 LAN toward the R2 LAN will therefore be unable to cross the router-to-router link.

## Correction

The fault will be corrected later during the fault-correction phase.

The interface can be restored using:

no shutdown

After restoring the interface, connectivity can be tested again using:

ping 10.0.0.2

The expected result after correction is:

Success rate is 100 percent
Screenshots
R1 Interface Down Verification

## Result

NET-019 was successfully created with R1's GigabitEthernet0/1 interface intentionally shut down. The show ip interface brief command confirmed that the interface was in the administratively down state.

The fault has been intentionally left unfixed for the later fault-correction phase.

## What I Learned
How to configure router interfaces
How to verify interface status using show ip interface brief
How the shutdown command administratively disables an interface
How an interface shutdown can interrupt routed communication
How to identify an administratively down interface
How to restore an interface using no shutdown",The evidence indicates that the router interface connecting the routed link is administratively down. This prevents communication between the routers.,Enter the affected router interface and use 'no shutdown' to restore the interface.,HIGH
NET-020,Routing,FAIL,Default route is missing.,Default route missing.,,"# NET-020 – Missing Default Route

## Problem
The default route was missing on the edge router, so the PC could communicate with its local router but could not reach the remote network.

## Topology
- 2 Cisco 1941 Routers
- 2 Cisco 2960 Switches
- 2 PCs
- PC0 → Switch0 → R1
- R1 → R2
- R2 → Switch1 → PC1

## IP Configuration

**PC0:** `192.168.20.10 / 255.255.255.0` 
**R1 G0/0:** `192.168.20.1 / 255.255.255.0` 
**R1 G0/1:** `10.0.0.1 / 255.255.255.252` 
**R2 G0/1:** `10.0.0.2 / 255.255.255.252` 
**R2 G0/0:** `172.16.0.1 / 255.255.255.0` 
**PC1:** `172.16.0.10 / 255.255.255.0`

## Solution

The network was configured with two routers connected through the `10.0.0.0/30` network.

R1 was configured with:

```bash
interface gigabitEthernet 0/0
ip address 192.168.20.1 255.255.255.0
no shutdown

```

interface gigabitEthernet 0/1
ip address 10.0.0.1 255.255.255.252
no shutdown

R2 was configured with:

interface gigabitEthernet 0/0
ip address 172.16.0.1 255.255.255.0
no shutdown

interface gigabitEthernet 0/1
ip address 10.0.0.2 255.255.255.252
no shutdown

The default route was intentionally left missing on R1 to demonstrate the fault.

Verification

The R1-R2 connection was tested using:

ping 10.0.0.2

Result: Successful connectivity between R1 and R2. ✅

PC0 was tested against its local gateway:

ping 192.168.20.1

Result: 4 packets received, 0% packet loss. ✅

The remote network was then tested:

ping 172.16.0.10

The result was:

Reply from 192.168.20.1: Destination host unreachable.

Result: 4 packets lost, 100% loss. ❌

The routing table on R1 was checked using:

show ip route

The routing table showed that no default route was configured.

R1 Routing Table

PC0 Local Gateway Ping

Remote Network Ping Failure

## Result

The missing default route fault was successfully created and demonstrated. PC0 could communicate with its local router, and R1 could communicate with R2, but PC0 could not reach the remote network because R1 did not have a default route.

## What I Learned
How routers use routing tables to forward packets
How to configure router interfaces
How to verify routes using show ip route
How a missing default route can prevent communication with unknown networks
How to test connectivity using ping
How to identify a routing problem from a Destination host unreachable message",The rule checker identified this networking condition. The evidence should be reviewed to confirm the exact configuration causing the fault.,"The network was configured with two routers connected through the `10.0.0.0/30` network.

R1 was configured with:

```bash
interface gigabitEthernet 0/0
ip address 192.168.20.1 255.255.255.0
no shutdown

```

interface gigabitEthernet 0/1
ip address 10.0.0.1 255.255.255.252
no shutdown

R2 was configured with:

interface gigabitEthernet 0/0
ip address 172.16.0.1 255.255.255.0
no shutdown

interface gigabitEthernet 0/1
ip address 10.0.0.2 255.255.255.252
no shutdown

The default route was intentionally left missing on R1 to demonstrate the fault.

Verification

The R1-R2 connection was tested using:

ping 10.0.0.2

Result: Successful connectivity between R1 and R2. ✅

PC0 was tested against its local gateway:

ping 192.168.20.1

Result: 4 packets received, 0% packet loss. ✅

The remote network was then tested:

ping 172.16.0.10

The result was:

Reply from 192.168.20.1: Destination host unreachable.

Result: 4 packets lost, 100% loss. ❌

The routing table on R1 was checked using:

show ip route

The routing table showed that no default route was configured.

R1 Routing Table

PC0 Local Gateway Ping

Remote Network Ping Failure",HIGH
