Case ID,Category,Expected Fault,Rule,Status,Finding,Category_diagnosis,Expected Fault_diagnosis,Rule_diagnosis,Status_diagnosis,Finding_diagnosis,Diagnosis,Explanation,Recommended Solution,Status_explanation,Finding_explanation,Explanation_explanation
NET-011,DHCP,Wrong DHCP network.,DHCP Checker,NOT_CHECKED,DHCP network information is unavailable.,DHCP,Wrong DHCP network.,DHCP Checker,NOT_CHECKED,DHCP network information is unavailable.,Wrong DHCP network,The DHCP pool is configured for an incorrect network.,Configure the DHCP pool with the correct network and subnet mask.,NOT_CHECKED,DHCP network information is unavailable.,NET-011: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-012,DHCP,Wrong DHCP default-router.,DHCP Checker,NOT_CHECKED,DHCP default-router information is unavailable.,DHCP,Wrong DHCP default-router.,DHCP Checker,NOT_CHECKED,DHCP default-router information is unavailable.,Wrong DHCP default-router,The DHCP pool provides an incorrect default gateway to clients.,Configure the DHCP pool with the correct default-router address.,NOT_CHECKED,DHCP default-router information is unavailable.,NET-012: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-013,DHCP,Wrong DHCP DNS server.,DHCP Checker,NOT_CHECKED,DHCP DNS information is unavailable.,DHCP,Wrong DHCP DNS server.,DHCP Checker,NOT_CHECKED,DHCP DNS information is unavailable.,Wrong DHCP DNS server,The DHCP configuration provides an incorrect DNS server address to clients.,Configure the correct DNS server address in the DHCP pool.,NOT_CHECKED,DHCP DNS information is unavailable.,NET-013: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-014,DNS,Wrong DNS server.,DNS Checker,NOT_CHECKED,DNS server information is unavailable.,DNS,Wrong DNS server.,DNS Checker,NOT_CHECKED,DNS server information is unavailable.,Wrong DNS server,The client is configured to use an incorrect DNS server.,Configure the client or DHCP pool with the correct DNS server address.,NOT_CHECKED,DNS server information is unavailable.,NET-014: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-015,DNS,DNS service disabled.,DNS Checker,NOT_CHECKED,DNS service status is unavailable.,DNS,DNS service disabled.,DNS Checker,NOT_CHECKED,DNS service status is unavailable.,DNS service disabled,"The DNS service is disabled, so hostname resolution cannot work.",Enable the DNS service on the configured DNS server.,NOT_CHECKED,DNS service status is unavailable.,NET-015: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-016,DNS,DNS record missing.,DNS Checker,NOT_CHECKED,DNS record information is unavailable.,DNS,DNS record missing.,DNS Checker,NOT_CHECKED,DNS record information is unavailable.,DNS record missing,"The required DNS record does not exist, so the hostname cannot be resolved.",Create the required DNS record and verify name resolution.,NOT_CHECKED,DNS record information is unavailable.,NET-016: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-017,Routing,Static route missing.,Route Checker,FAIL,Required static route is missing.,Routing,Static route missing.,Route Checker,FAIL,Required static route is missing.,Static route missing,The router does not contain the required route to the destination network.,Add the required static route using the correct destination network and next hop.,FAIL,Required static route is missing.,NET-017: A network problem was detected. Finding: Required static route is missing.. The configuration should be corrected according to the identified fault.
NET-018,Routing,Wrong next hop.,Route Checker,NOT_CHECKED,Next-hop information is unavailable.,Routing,Wrong next hop.,Route Checker,NOT_CHECKED,Next-hop information is unavailable.,Wrong next hop,The static route uses an incorrect next-hop address.,Modify the static route and configure the correct next-hop address.,NOT_CHECKED,Next-hop information is unavailable.,NET-018: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-019,Routing,Interface shutdown.,Route Checker,FAIL,Router interface is administratively down.,Routing,Interface shutdown.,Route Checker,FAIL,Router interface is administratively down.,Router interface down,The router interface connecting the routed link is administratively down.,Enter the affected interface and use 'no shutdown' to restore it.,FAIL,Router interface is administratively down.,NET-019: A network problem was detected. Finding: Router interface is administratively down.. The configuration should be corrected according to the identified fault.
NET-020,Routing,Default route missing.,Route Checker,FAIL,Default route is missing.,Routing,Default route missing.,Route Checker,FAIL,Default route is missing.,Default route missing,The router does not have a default route for unknown destination networks.,Configure the appropriate default route toward the upstream router.,FAIL,Default route is missing.,NET-020: A network problem was detected. Finding: Default route is missing.. The configuration should be corrected according to the identified fault.
NET-021,ACL,ACL blocks ICMP.,ACL Checker,FAIL,ACL is blocking ICMP traffic.,ACL,ACL blocks ICMP.,ACL Checker,FAIL,ACL is blocking ICMP traffic.,ACL blocks ICMP,"The ACL contains a rule that denies ICMP traffic, causing ping requests to fail.",Modify the ACL so that required ICMP traffic is permitted.,FAIL,ACL is blocking ICMP traffic.,NET-021: A network problem was detected. Finding: ACL is blocking ICMP traffic.. The configuration should be corrected according to the identified fault.
NET-022,ACL,ACL blocks HTTP.,ACL Checker,FAIL,ACL is blocking HTTP traffic.,ACL,ACL blocks HTTP.,ACL Checker,FAIL,ACL is blocking HTTP traffic.,ACL blocks HTTP,The ACL blocks HTTP traffic between the client and web server.,Modify the ACL to permit the required HTTP traffic.,FAIL,ACL is blocking HTTP traffic.,NET-022: A network problem was detected. Finding: ACL is blocking HTTP traffic.. The configuration should be corrected according to the identified fault.
NET-023,ACL,ACL placement is wrong.,ACL Checker,FAIL,ACL placement is incorrect.,ACL,ACL placement is wrong.,ACL Checker,FAIL,ACL placement is incorrect.,ACL applied in wrong direction or interface,"The ACL is applied to an incorrect interface or direction, causing unintended traffic filtering.",Apply the ACL to the correct interface and direction.,FAIL,ACL placement is incorrect.,NET-023: A network problem was detected. Finding: ACL placement is incorrect.. The configuration should be corrected according to the identified fault.
NET-024,NAT,NAT missing.,NAT Checker,NOT_CHECKED,NAT configuration information is unavailable.,NAT,NAT missing.,NAT Checker,NOT_CHECKED,NAT configuration information is unavailable.,NAT not configured,"Network Address Translation is missing, so internal addresses cannot be translated for external communication.",Configure the required NAT rules and identify the inside and outside interfaces.,NOT_CHECKED,NAT configuration information is unavailable.,NET-024: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-025,NAT,NAT interface roles wrong.,NAT Checker,NOT_CHECKED,NAT interface role information is unavailable.,NAT,NAT interface roles wrong.,NAT Checker,NOT_CHECKED,NAT interface role information is unavailable.,NAT inside/outside roles incorrect,The router interfaces have incorrect NAT inside/outside roles.,Configure the correct interfaces as NAT inside and NAT outside.,NOT_CHECKED,NAT interface role information is unavailable.,NET-025: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-026,NAT,NAT ACL mismatch.,NAT Checker,NOT_CHECKED,NAT ACL information is unavailable.,NAT,NAT ACL mismatch.,NAT Checker,NOT_CHECKED,NAT ACL information is unavailable.,NAT ACL mismatch,The ACL used by NAT does not correctly identify the internal addresses that require translation.,Correct the NAT ACL so that the intended internal network is permitted.,NOT_CHECKED,NAT ACL information is unavailable.,NET-026: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-027,Wireless,Wrong SSID.,Wireless Checker,NOT_CHECKED,SSID information is unavailable.,Wireless,Wrong SSID.,Wireless Checker,NOT_CHECKED,SSID information is unavailable.,Wrong SSID,The configured wireless network name does not match the intended SSID.,Configure the Access Point with the correct SSID and reconnect the wireless client.,NOT_CHECKED,SSID information is unavailable.,NET-027: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-028,Wireless,Wrong wireless password.,Wireless Checker,NOT_CHECKED,Wireless password information is unavailable.,Wireless,Wrong wireless password.,Wireless Checker,NOT_CHECKED,Wireless password information is unavailable.,Wrong wireless password,The wireless password configured or entered by the client does not match.,Configure and use the correct wireless security password.,NOT_CHECKED,Wireless password information is unavailable.,NET-028: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-029,Wireless,Wireless DHCP/network problem.,Wireless Checker,NOT_CHECKED,Wireless network information is unavailable.,Wireless,Wireless DHCP/network problem.,Wireless Checker,NOT_CHECKED,Wireless network information is unavailable.,Wireless DHCP/network problem,The wireless client is unable to obtain a valid network configuration.,"Check wireless connectivity, DHCP configuration, IP addressing, and network settings.",NOT_CHECKED,Wireless network information is unavailable.,NET-029: The system could not completely verify this case. Additional evidence or configuration information is required.
NET-030,Wireless,AP port VLAN mismatch.,VLAN Checker,NOT_CHECKED,AP VLAN information is unavailable.,Wireless,AP port VLAN mismatch.,VLAN Checker,NOT_CHECKED,AP VLAN information is unavailable.,AP port VLAN mismatch,The switch port connected to the Access Point is assigned to an incorrect VLAN.,Assign the AP switch port to the correct VLAN.,NOT_CHECKED,AP VLAN information is unavailable.,NET-030: The system could not completely verify this case. Additional evidence or configuration information is required.
