Case ID,Category,Case Title,Symptom,Topology / Devices,Show Output / Evidence to Collect,Expected Evidence / Result,Expected Fault / Root Cause,OSI Layer,Concept Tag,Severity,Expected Fix / Fix Steps
NET-020,Routing,Missing default route,Outside/unknown network cannot be reached.,Edge router + LAN + outside server.,show ip route,No 0.0.0.0/0 route.,Default route missing.,Layer 3,Routing,Medium,Configure default route.
NET-021,ACL,ACL blocks ping,Routing works but ping to server fails.,Router + 2 LANs + ACL.,show access-lists; show running-config,ACL denies ICMP.,ACL blocks ICMP.,Layer 3/4,ACL,Medium,Permit required ICMP.
NET-022,ACL,ACL blocks web,Ping works but HTTP service fails.,Router + PC + web server + ACL.,show access-lists; show running-config,ACL denies TCP/80.,ACL blocks HTTP.,Layer 4,ACL,Medium,Permit HTTP.
NET-023,ACL,ACL wrong interface/direction,Traffic is blocked unexpectedly.,Router + 2 LANs + ACL.,show running-config,ACL applied on unexpected interface/direction.,ACL placement is wrong.,Layer 3/4,ACL,Medium,Apply ACL correctly.
NET-024,NAT,NAT not configured,Private PC cannot reach outside server.,Router + private LAN + outside server.,show ip nat translations; show running-config,No translation appears.,NAT missing.,Layer 3,NAT,Medium,Configure NAT.
NET-025,NAT,Wrong inside/outside interface,Private traffic is not translated.,Router + private LAN + outside server.,show running-config; show ip nat translations,Inside/outside roles are wrong.,NAT interface roles wrong.,Layer 3,NAT,Medium,Correct ip nat inside/outside.
NET-026,NAT,NAT ACL wrong,One private PC translates but another does not.,Router + 2 private PCs + outside server.,show access-lists; show ip nat translations,NAT ACL does not match one PC.,NAT ACL mismatch.,Layer 3,NAT,Medium,Correct NAT ACL.
NET-027,Wireless,Wrong SSID,Laptop cannot join intended Wi-Fi.,1 AP + 1 laptop.,Wireless client settings,Client SSID differs from AP SSID.,Wrong SSID.,Layer 2,Wireless,Low,Use exact AP SSID.
NET-028,Wireless,Wrong Wi-Fi password,Laptop sees network but cannot authenticate.,1 AP + 1 laptop.,Wireless client/AP security settings,Client key differs from AP key.,Wrong wireless password.,Layer 2,Wireless,Low,Enter correct password.
NET-029,Wireless,Wireless client gets no IP,Laptop connects but has no usable IP.,AP + laptop + DHCP/router.,ipconfig,Client has no valid DHCP address.,Wireless DHCP/network problem.,Layer 3,Wireless/DHCP,Medium,Fix DHCP/network configuration.
NET-030,Wireless,AP connected to wrong VLAN,Laptop connects but cannot reach intended network.,AP + switch + laptop; wireless VLAN configured.,show vlan brief; show interfaces status,AP switch port is in wrong VLAN.,AP port VLAN mismatch.,Layer 2,Wireless/VLAN,Medium,Assign AP port to correct VLAN.
